"";"Таблица.1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"X11";"X12";"X13";"X14";"X15";"X16";"X17";"X18"
"12";"Наименование организации отдыха";"Санаторий для детей с родителями «Кратово» ";"Санаторий для детей с родителями «Кратово» ";"Вид отдыха";"Вид отдыха";"Индивидуальный";"Индивидуальный";"Номер заезда/смены";"Номер заезда/смены";NA;NA;"Период заезда/смены";"Период заезда/смены";"23.03.2019 - 07.04.2019";"23.03.2019 - 07.04.2019";"23.03.2019 - 07.04.2019";"23.03.2019 - 07.04.2019";"Всего"
"14";"Период отдыха (дни)";"1";"2";"3";"4";"5";"6";"7";"8";9;10;"11";"12";"13";"14";"15";"16";"Всего"
"15";"Инфекционные и паразитарные заболевания";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0"
"16";"Болезни эндокринной системы";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0"
"17";"Болезни нервной системы";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0"
"18";"Болезни глаза";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0"
"19";"Болезни уха и сосцевидного отростка";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0"
"20";"Болезни сердечно-сосудистой системы";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0"
"21";"Болезни органов дыхания";"0";"0";"0";"0";"0";"0";"0";"1";0;5;"0";"0";"0";"0";"0";"0";"6"
"22";"Болезни органов пищеварения";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0"
"23";"Болезни органов мочеполовой системы";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0"
"24";"Отравления";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0"
"25";"Тепловые удары";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0"
"26";"Экстренные и неотложные состояния";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0"
"27";"Болезни кожи неинфекционные";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0"
"28";"Всего";"0";"0";"0";"0";"0";"0";"0";"1";0;5;"0";"0";"0";"0";"0";"0";"6"
"29";"Страховые случаи";"0";"0";"0";"0";"0";"0";"0";"1";0;5;"0";"0";"0";"0";"0";"0";"6"
