"";"Таблица.1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"X11";"X12"
"12";"Наименование организации отдыха";"Детский реабилитационно-оздоровительный центр ""Жемчужина""";"Вид отдыха";"Индивидуальный";"Номер заезда/смены";"VI смена";"Период заезда/смены";"11.10.2019 - 20.10.2019";"11.10.2019 - 20.10.2019";"11.10.2019 - 20.10.2019";"11.10.2019 - 20.10.2019";"Всего"
"14";"Период отдыха (дни)";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"Всего"
"15";"Инфекционные и паразитарные заболевания";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"16";"Болезни эндокринной системы";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"17";"Болезни нервной системы";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"18";"Болезни глаза";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"19";"Болезни уха и сосцевидного отростка";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"20";"Болезни сердечно-сосудистой системы";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"21";"Болезни органов дыхания";"0";"3";"2";"1";"0";"0";"0";"0";"0";"0";"6"
"22";"Болезни органов пищеварения";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1"
"23";"Болезни органов мочеполовой системы";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"24";"Отравления";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"25";"Тепловые удары";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"26";"Экстренные и неотложные состояния";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"27";"Болезни кожи неинфекционные";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"28";"Всего";"2";"4";"2";"1";"0";"1";"0";"0";"0";"0";"10"
"29";"Страховые случаи";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
