"";"Таблица.1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"X11";"X12";"X13";"X14";"X15";"X16";"X17";"X18";"X19";"X20"
"12";"Наименование организации отдыха";"Общество с Ограниченной Ответственностью «Центр Отдыха Зеленый городок» (Детский оздоровительный лагерь «Дружба») (обособка)";"Общество с Ограниченной Ответственностью «Центр Отдыха Зеленый городок» (Детский оздоровительный лагерь «Дружба») (обособка)";"Вид отдыха";"Вид отдыха";"Индивидуальный";"Индивидуальный";"Номер заезда/смены";"Номер заезда/смены";NA;NA;"Период заезда/смены";"Период заезда/смены";"26.12.2019 - 12.01.2020";"26.12.2019 - 12.01.2020";"26.12.2019 - 12.01.2020";"26.12.2019 - 12.01.2020";"26.12.2019 - 12.01.2020";"26.12.2019 - 12.01.2020";"Всего"
"14";"Период отдыха (дни)";"1";"2";"3";"4";"5";"6";"7";"8";9;10;"11";"12";"13";"14";"15";"16";"17";"18";"Всего"
"15";"Инфекционные и паразитарные заболевания";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"16";"Болезни эндокринной системы";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"17";"Болезни нервной системы";"0";"0";"0";"0";"0";"0";"0";"1";1;0;"1";"1";"2";"2";"0";"0";"0";"0";"8"
"18";"Болезни глаза";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"1";"1";"0";"0";"0";"0";"0";"0";"2"
"19";"Болезни уха и сосцевидного отростка";"0";"0";"0";"2";"4";"5";"3";"2";2;7;"8";"5";"5";"4";"0";"2";"0";"0";"49"
"20";"Болезни сердечно-сосудистой системы";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"21";"Болезни органов дыхания";"0";"0";"0";"0";"0";"1";"0";"0";2;5;"7";"1";"5";"1";"0";"3";"0";"0";"25"
"22";"Болезни органов пищеварения";"0";"0";"0";"0";"0";"0";"0";"0";0;2;"2";"3";"0";"0";"0";"1";"0";"0";"8"
"23";"Болезни органов мочеполовой системы";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"24";"Отравления";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"25";"Тепловые удары";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"26";"Экстренные и неотложные состояния";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"27";"Болезни кожи неинфекционные";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0";"0";"0";"0";"0"
"28";"Всего";"0";"0";"0";"2";"4";"6";"3";"3";5;14;"19";"11";"12";"7";"0";"6";"0";"0";"92"
"29";"Страховые случаи";"0";"0";"0";"0";"0";"1";"0";"0";3;1;"2";"1";"0";"1";"0";"0";"0";"0";"9"
