"";"Таблица.1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"X11";"X12";"X13";"X14";"X15";"X16"
"12";"Наименование организации отдыха";"Общество с Ограниченной Ответственностью «Центр Отдыха Зеленый городок» (Детский оздоровительный лагерь «Дружба») (обособка)";"Общество с Ограниченной Ответственностью «Центр Отдыха Зеленый городок» (Детский оздоровительный лагерь «Дружба») (обособка)";"Вид отдыха";"Вид отдыха";"Индивидуальный";"Индивидуальный";"Номер заезда/смены";"Номер заезда/смены";NA;NA;"Период заезда/смены";"Период заезда/смены";"28.12.2019 - 10.01.2020";"28.12.2019 - 10.01.2020";"Всего"
"14";"Период отдыха (дни)";"1";"2";"3";"4";"5";"6";"7";"8";9;10;"11";"12";"13";"14";"Всего"
"15";"Инфекционные и паразитарные заболевания";"1";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"1"
"16";"Болезни эндокринной системы";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0"
"17";"Болезни нервной системы";"0";"0";"2";"1";"0";"2";"0";"0";1;0;"0";"2";"0";"0";"8"
"18";"Болезни глаза";"0";"0";"1";"0";"0";"1";"0";"0";0;0;"0";"1";"0";"0";"3"
"19";"Болезни уха и сосцевидного отростка";"0";"4";"3";"4";"8";"9";"10";"5";5;3;"4";"3";"1";"0";"59"
"20";"Болезни сердечно-сосудистой системы";"0";"0";"0";"0";"0";"0";"0";"0";2;0;"0";"0";"0";"0";"2"
"21";"Болезни органов дыхания";"0";"4";"2";"4";"2";"0";"7";"9";15;7;"7";"1";"0";"0";"58"
"22";"Болезни органов пищеварения";"0";"0";"0";"0";"0";"0";"0";"0";2;0;"0";"0";"0";"0";"2"
"23";"Болезни органов мочеполовой системы";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0"
"24";"Отравления";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0"
"25";"Тепловые удары";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0"
"26";"Экстренные и неотложные состояния";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0"
"27";"Болезни кожи неинфекционные";"0";"0";"0";"0";"0";"0";"0";"0";0;0;"0";"0";"0";"0";"0"
"28";"Всего";"1";"8";"8";"9";"10";"12";"17";"14";25;10;"11";"7";"1";"0";"133"
"29";"Страховые случаи";"0";"0";"0";"2";"2";"1";"3";"1";9;1;"1";"1";"0";"0";"21"
