"";"Таблица.1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"X11";"X12";"X13";"X14";"X15";"X16";"X17";"X18";"X19";"X20";"X21";"X22";"X23"
"12";"Наименование организации отдыха";"Детский оздоровительный лагерь ""Жемчужина""";"Детский оздоровительный лагерь ""Жемчужина""";"Детский оздоровительный лагерь ""Жемчужина""";"Вид отдыха";"Вид отдыха";"Вид отдыха";"Индивидуальный";"Индивидуальный";"Индивидуальный";"Номер заезда/смены";"Номер заезда/смены";"Номер заезда/смены";"II смена";"II смена";"II смена";"Период заезда/смены";"Период заезда/смены";"Период заезда/смены";"22.06.2019 - 12.07.2019";"22.06.2019 - 12.07.2019";"22.06.2019 - 12.07.2019";"Всего"
"14";"Период отдыха (дни)";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"Всего"
"15";"Инфекционные и паразитарные заболевания";"0";"2";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"16";"Болезни эндокринной системы";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"17";"Болезни нервной системы";"0";"2";"3";"0";"4";"4";"3";"3";"4";"5";"4";"0";"4";"0";"0";"2";"0";"0";"0";"2";"0";"40"
"18";"Болезни глаза";"5";"0";"3";"0";"3";"3";"1";"1";"0";"2";"0";"0";"2";"0";"0";"1";"0";"2";"0";"1";"0";"24"
"19";"Болезни уха и сосцевидного отростка";"2";"0";"4";"0";"3";"2";"3";"3";"4";"3";"3";"4";"4";"0";"4";"4";"1";"3";"3";"4";"0";"54"
"20";"Болезни сердечно-сосудистой системы";"0";"2";"2";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"21";"Болезни органов дыхания";"2";"3";"0";"1";"2";"5";"3";"0";"2";"0";"2";"4";"5";"3";"3";"3";"3";"3";"4";"4";"0";"52"
"22";"Болезни органов пищеварения";"0";"1";"1";"0";"1";"1";"0";"3";"0";"0";"2";"1";"3";"4";"0";"1";"4";"0";"2";"1";"0";"25"
"23";"Болезни органов мочеполовой системы";"0";"0";"1";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"24";"Отравления";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"25";"Тепловые удары";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"26";"Экстренные и неотложные состояния";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"27";"Болезни кожи неинфекционные";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"28";"Всего";"9";"11";"16";"1";"14";"15";"11";"13";"10";"11";"11";"9";"18";"7";"7";"11";"8";"8";"9";"12";"0";"211"
"29";"Страховые случаи";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"1";"4";"1";"5";"5";"1";"1";"0";"0";"2";"0";"24"
