"";"Таблица.1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"X11";"X12";"X13"
"12";"Наименование организации отдыха";"Детский реабилитационно-оздоровительный центр ""Жемчужина""";"Вид отдыха";"Индивидуальный";"Номер заезда/смены";NA;"Период заезда/смены";"29.12.2018 - 08.01.2019";"29.12.2018 - 08.01.2019";"29.12.2018 - 08.01.2019";"29.12.2018 - 08.01.2019";"29.12.2018 - 08.01.2019";"Всего"
"14";"Период отдыха (дни)";"1";"2";"3";"4";5;"6";"7";"8";"9";"10";"11";"Всего"
"15";"Инфекционные и паразитарные заболевания";"0";"0";"0";"0";0;"0";"0";"0";"0";"0";"0";"0"
"16";"Болезни эндокринной системы";"0";"0";"0";"0";0;"0";"0";"0";"0";"0";"0";"0"
"17";"Болезни нервной системы";"0";"0";"0";"0";0;"0";"1";"0";"0";"1";"0";"2"
"18";"Болезни глаза";"0";"0";"0";"0";0;"0";"0";"0";"0";"0";"0";"0"
"19";"Болезни уха и сосцевидного отростка";"0";"0";"0";"0";1;"0";"0";"0";"0";"1";"1";"3"
"20";"Болезни сердечно-сосудистой системы";"0";"0";"0";"0";0;"0";"0";"0";"0";"1";"0";"1"
"21";"Болезни органов дыхания";"0";"0";"1";"1";1;"1";"1";"0";"0";"0";"0";"5"
"22";"Болезни органов пищеварения";"0";"0";"0";"0";0;"0";"2";"0";"1";"0";"0";"3"
"23";"Болезни органов мочеполовой системы";"0";"0";"0";"0";0;"0";"0";"0";"0";"0";"0";"0"
"24";"Отравления";"0";"0";"0";"0";0;"0";"0";"0";"0";"0";"0";"0"
"25";"Тепловые удары";"0";"0";"0";"0";0;"0";"0";"0";"0";"0";"0";"0"
"26";"Экстренные и неотложные состояния";"0";"0";"0";"0";0;"0";"0";"0";"0";"0";"0";"0"
"27";"Болезни кожи неинфекционные";"0";"0";"0";"0";0;"0";"0";"0";"0";"0";"0";"0"
"28";"Всего";"0";"0";"1";"1";2;"1";"4";"0";"1";"3";"1";"14"
"29";"Страховые случаи";"0";"0";"0";"0";0;"0";"0";"0";"1";"0";"0";"1"
