Организация отдыха,Период заезда,Количество обращений,Количество страховых случаев
Детский оздоровительный пансионат Россия,24.06.2019 - 14.07.2019,526,0
Детский оздоровительный лагерь Жемчужина,13.07.2019 - 02.08.2019,374,28
Детский оздоровительный лагерь Жемчужина,31.05.2019 - 20.06.2019,370,20
Детский оздоровительный пансионат Россия,23.06.2019 - 13.07.2019,270,1
Детский оздоровительный лагерь Жемчужина,03.08.2019 - 23.08.2019,248,30
Детский оздоровительный лагерь Жемчужина,22.06.2019 - 12.07.2019,211,24
Детский оздоровительный пансионат Россия,14.07.2019 - 03.08.2019,200,14
Детский оздоровительно-образовательный центр Родник,14.07.2019 - 03.08.2019,142,20
Общество с Ограниченной Ответственностью «Центр Отдыха Зеленый городок» (Детский оздоровительный лагерь «Дружба») (обособка),28.12.2019 - 10.01.2020,133,21
Детский оздоровительный пансионат Россия,03.06.2019 - 23.06.2019,130,0
Коммунальное унитарное предприятие Детский реабилитационно-оздоровительный центр Жемчужина (Обособка),22.06.2019 - 12.07.2019,122,38
Детский оздоровительный лагерь Жемчужина (Обособка),22.06.2019 - 12.07.2019,114,34
Коммунальное унитарное предприятие Детский реабилитационно-оздоровительный центр Жемчужина (Обособка),01.06.2019 - 21.06.2019,110,36
Детский оздоровительный комплекс Жемчужина России,22.06.2019 - 12.07.2019,106,2
Детский оздоровительный лагерь Прибрежный,14.07.2019 - 03.08.2019,102,10
Детский оздоровительный комплекс Жемчужина России,01.06.2019 - 21.06.2019,98,2
Общество с Ограниченной Ответственностью «Центр Отдыха Зеленый городок» (Детский оздоровительный лагерь «Дружба») (обособка),26.12.2019 - 12.01.2020,92,9
Детский оздоровительный лагерь Прибрежный,03.08.2019 - 23.08.2019,87,11
Детский оздоровительный лагерь Прибрежный,13.07.2019 - 02.08.2019,85,6
Санаторий Отдых,25.06.2019 - 15.07.2019,80,0
Детский оздоровительный лагерь Жемчужина (Обособка),03.08.2019 - 23.08.2019,69,0
Пионерский лагерь Сказка,28.12.2019 - 12.01.2020,63,25
Федеральное государственное бюджетное учреждение Детский оздоровительный пансионат Россия Управления делами Президента Российской Федерации (обособка),22.06.2019 - 12.07.2019,61,1
Детский оздоровительный лагерь Жемчужина (Обособка),04.08.2019 - 24.08.2019,60,2
Детский оздоровительный лагерь Жемчужина (Обособка),14.07.2019 - 03.08.2019,56,1
Детский оздоровительный лагерь Жемчужина (Обособка),01.06.2019 - 21.06.2019,49,1
Детский оздоровительный комплекс Жемчужина России,02.06.2019 - 22.06.2019,48,0
Детский оздоровительный лагерь Прибрежный,22.06.2019 - 12.07.2019,47,3
Детский оздоровительный комплекс Жемчужина России,19.07.2019 - 08.08.2019,45,1
Детский реабилитационно-оздоровительный центр Жемчужина,17.07.2019 - 06.08.2019,40,8
СКО Смена (Обособка) ,14.07.2019 - 04.08.2019,36,0
Детский оздоровительный лагерь Жемчужина (Обособка),13.07.2019 - 02.08.2019,35,2
Санаторий Отдых,04.06.2019 - 24.06.2019,35,0
Детский оздоровительно-образовательный центр Родник,02.06.2019 - 22.06.2019,32,6
Детский оздоровительный комплекс Жемчужина России,10.08.2019 - 30.08.2019,30,0
Коммунальное унитарное предприятие Детский реабилитационно-оздоровительный центр Жемчужина (Обособка),27.12.2019 - 11.01.2020,30,0
Детский оздоровительный комплекс Жемчужина России,24.06.2019 - 14.07.2019,29,4
Детский оздоровительный комплекс Жемчужина России,20.07.2019 - 09.08.2019,28,0
Смоленское областное государственное бюджетное учреждение  Социально-оздоровительный центр Голоевка(обособка),31.05.2019 - 20.06.2019,28,0
Коммунальное унитарное предприятие «Детский реабилитационно-оздоровительный центр Ждановичи ,25.12.2019 - 08.01.2020,27,2
Детский оздоровительный лагерь Прибрежный,01.06.2019 - 21.06.2019,22,0
Детский оздоровительный лагерь Жемчужина,21.06.2019 - 11.07.2019,20,0
Детский оздоровительный центр Звездочка,27.12.2019 - 10.01.2020,19,19
Детский оздоровительный центр Звездочка,28.12.2018 - 09.01.2019,19,1
Детский оздоровительно-образовательный центр Родник,06.08.2019 - 26.08.2019,18,0
